Def,Example,Persian,English
"aufräumen, räumt auf, räumte auf, hat aufgeräumt",Vor meinem Urlaub muss ich unbedingt noch meinen Schreibtisch aufräumen.,"مرتب کردن، مرتب کردن، مرتب کردن، مرتب کرده است","tidy up, tidies up, tidies up, has tidied up"
"aufregen, regt auf, regte auf, hat aufgeregt","1. Es regt mich auf, dass ich schon wieder Überstunden machen muss. 2. Ganz ruhig! Bitte regen Sie sich nicht auf. 3. Heute hast du eine Prüfung. Bist du schon aufgeregt? 4. Die Musikgruppe zu erleben war sehr aufregend.","ناراحت کردن، آشفته کردن، پریشان کردن، آشفته کرده است","to upset, upsets, upset, has upset"
"aufstehen, steht auf, stand auf, ist aufgestanden",1. Ich stehe jeden Morgen um sechs Uhr auf. 2. Sie brauchen nicht aufzustehen. Sie können sitzen bleiben.,"برخیز، برخیز، برخیز، برخیز، برخیز شده است","get up, get up, got up, has gotten up"
"der Auftrag, ¨-e",1. Ich komme im Auftrag von Frau Müller und soll Ihnen diesen Brief geben. 2. Im Moment hat die Firma besonders viele Aufträge.,"سفارش، ¨-e","the order, ¨-e"
"auftreten, tritt auf, trat auf, ist aufgetreten",Nächste Woche tritt in der Stadthalle eine berühmte Musikgruppe auf.,"رخ می‌دهد، رخ می‌دهد، رخ داده است، رخ داده است","occur, occurs, occurred, has occurred"
"der Auftritt, -e",Nach dem Auftritt feiern die Musiker.,"ظاهر، -s","the appearance, -s"
"aufwachen, wacht auf, wachte auf, ist aufgewacht",Von dem Lärm bin ich aufgewacht.,"بیدار شدن، بیدار شدن، بیدار شدن، از خواب بیدار شده است","wake up, wakes up, woke up, has woken up"
aufwärts,1. Sie müssen gute Schuhe anziehen. Der Weg geht immer aufwärts. 2. In letzter Zeit geht es wieder aufwärts mit der Wirtschaft.,به سمت بالا,upwards
"der Aufzug, ¨-e (D, A) → Lift",Im Büro ist leider der Aufzug kaputt.,"آسانسور، ¨-e (D, A) → بالابر","the elevator, ¨-e (D, A) → lift"
"das Auge, -n",Meine beiden Kinder haben blaue Augen.,"چشم، -s","the eye, -s"
"der Augenblick, -e","1. Ich wollte gerade parken. In dem Augenblick ist ein Wagen aus der Ausfahrt gekommen. 2. Einen Augenblick, bitte! 3. Im Augenblick sind keine Plätze frei.","لحظه، -s","the moment, -s"
aus,1. Frau Müller geht jeden Morgen um 8 Uhr aus dem Haus. 2. Frau Özgen kommt aus der Türkei. 3. Die Möbel sind noch aus der Zeit um 1900. 4. Ich trage nur Pullover aus reiner Wolle. 5. Wir haben aus Liebe geheiratet. 6. Wann ist der Kurs aus? 7. Ich seh‘ nichts! Das Licht ist aus!,خارج از,out of
"die Ausbildung, -en",1. Ich habe meine Ausbildung abgeschlossen. 2. Mit deiner guten Ausbildung findest du sicher eine Arbeit.,"آموزش، -s","the training, -s"
ausgebildet,Für diesen Beruf müssen Sie gut ausgebildet sein.,آموزش دیده,trained
"ausdrucken, druckt aus, druckte aus, hat ausgedruckt",Kann ich das auf deinem Drucker ausdrucken?,"چاپ کردن، چاپ کردن، چاپ کردن، چاپ کرده است","print, prints out, printed out, has printed out"
"der Ausdruck, ¨-e",1. Diesen Ausdruck habe ich noch nie gehört.,"عبارت، ¨-e","the expression, ¨-e"
"der Ausdruck, -e",2. Machen Sie doch bitte einen Ausdruck von der E-Mail.,"عبارت، -s","the expression, -s"
auseinander,Wir wohnen nicht weit auseinander.,جدا از هم,apart
"die Ausfahrt, -en","1. Hier ist eine Ausfahrt, da dürfen Sie nicht parken. 2. Wie weit ist es noch bis zur Ausfahrt Freiburg?","خروج، -s","the exit, -s"
"ausfallen, fällt aus, fiel aus, ist ausgefallen",Nächste Woche fällt der Kurs aus.,"لغو شدن، لغو می‌شود، لغو شده بود، لغو شده است","to be cancelled, is cancelled, was cancelled, has been cancelled"
"der Ausflug, ¨-e",Am Wochenende machen wir mit Freunden einen Ausflug nach Heidelberg.,"گشت و گذار، ¨-e","the excursion, ¨-e"
"ausfüllen, füllt aus, füllte aus, hat ausgefüllt",Füllen Sie bitte dieses Formular aus!,"پر کردن، پر کردن، پر کردن، پر کرده است","fill out, fills out, filled out, has filled out"
"die Ausgabe, -n",1. Wie hoch sind Ihre Ausgaben in einem Monat? 2. Wo ist die Essensausgabe? 3. In welchem Buch hast du das gelesen? In welcher Ausgabe?,"خروجی، -s","the output, -s"
"der Ausgang, ¨-e",Wo ist der Ausgang bitte?,"خروجی، -e","the exit, -e"
"ausgeben, gibt aus, gab aus, hat ausgegeben",Carola gibt viel Geld für ihr Hobby aus.,"خرج کردن، خرج کردن، خرج کردن، خرج کرده است","spend, spends, spent, has spent"
"ausgehen, geht aus, ging aus, ist ausgegangen",1. Plötzlich ist das Licht ausgegangen. 2. Gehen wir heute Abend aus? 3. Wie ist das Spiel ausgegangen?,"بیرون رفتن، بیرون رفتن، بیرون رفتن، بیرون رفته است","to go out, goes out, went out, has gone out"
ausgezeichnet,Essen und Unterkunft waren ausgezeichnet.,عالی,excellent
"die Aushilfe, -n",Wir suchen eine freundliche Aushilfe für unser Geschäft.,کارگر(ان) موقت,the temporary worker(s)
"die Auskunft, ¨-e","1. Ich hätte gern eine Auskunft. 2. Die Firma hat eine neue Nummer. Bitte, rufen Sie die Auskunft an.","اطلاعات، -e","the information, -e"
das Ausland,Wir fahren im Urlaub meistens ins Ausland.,کشور خارجی,the foreign country
"der Ausländer, - die Ausländerin, -nen",Viele Ausländer und Ausländerinnen lernen in der Volkshochschule Deutsch.,"خارجی، - خارجی (مونث)، -nen","the foreigner, - the foreigner (female), -nen"
ausländisch,Die ausländischen Studenten müssen zuerst einen Deutschkurs besuchen.,خارجی,foreign
"ausmachen, macht aus, machte aus, hat ausgemacht","1. Sie müssen leider warten. – Kein Problem. Das macht mir nichts aus. 2. Machen Sie bitte das Licht aus! 3. Wir hatten doch ausgemacht, dass du die Getränke besorgst. 4. Haben Sie einen Termin ausgemacht?","خاموش کردن، خاموش می‌کند، خاموش شده، خاموش شده است","turn off, turns off, turned off, has turned off"
"die Ausnahme, -n",Normalerweise muss ich am Wochenende arbeiten. Aber heute ist eine Ausnahme.,"استثنا، -s","the exception, -s"
"ausreichen, reicht aus, reichte aus, hat ausgereicht",1. Das Geld muss bis März ausreichen. 2. Seine Kenntnisse reichen für diese Arbeit aus.,"کافی، بسنده، کافی بود، کافی بوده است","sufficient, sufficient, was sufficient, has been sufficient"
ausreichend,Das Geld ist für die Reise ausreichend.,کافی,sufficient
"ausrichten, richtet aus, richtete aus, hat ausgerichtet",Mein Mann ist nicht da. Soll ich ihm etwas ausrichten?,"هم‌تراز کردن، هم‌تراز کردن، هم‌تراز کردن، هم‌تراز کردن","align, aligns, aligned, has aligned"
"(sich) ausruhen, ruht aus, ruhte aus, hat ausgeruht",1. Sie ruhen sich von der Arbeit aus. 2. Bist du gut ausgeruht?,"(برای) استراحت کردن، استراحت کردن، استراحت کرد، استراحت کرده است","(to) rest, rests, rested, has rested"
"ausschließen, schließt aus, schloss aus, hat ausgeschlossen",1. Das kann man nicht ganz ausschließen. 2. So viel kann ich nicht bezahlen. Das ist völlig ausgeschlossen.,"مستثنی کردن، مستثنی کردن، مستثنی کردن، مستثنی کرده است","to exclude, excludes, excluded, has excluded"
ausschließlich,Tut mir leid. Wir haben ausschließlich Nichtraucherzimmer.,منحصراً,exclusively
"aussehen, sieht aus, sah aus, hat ausgesehen","1. Sie sehen wieder besser aus. Sind Sie wieder gesund? 2. Er sieht genauso aus wie sein Vater. 3. Es sieht so aus, als ob es bald regnen würde.","به نظر می‌رسد، به نظر می‌رسد، شبیه، شبیه بوده است","look, looks like, looked like, has looked like"
außen,1. Wir haben das Schloss nur von außen gesehen. 2. Außen ist das Haus nicht sehr schön.,بیرون,outside
außerhalb,Wir wohnen außerhalb von Berlin.,بیرون,outside
äußerlich,Das Medikament dürfen Sie nur äußerlich anwenden.,از نظر خارجی,externally
außer,1. Außer Lisa hat sich niemand um die Stelle beworben. 2. Der Aufzug ist außer Betrieb. 3. Wir haben täglich außer Samstag geöffnet.,به جز,except
außerdem,"1. Möchten Sie außerdem noch etwas? 2. Der Film war langweilig, und außerdem haben die Schauspieler schlecht gespielt.",گذشته از آن,aside from that
"die Aussicht, -en",1. Von diesem Turm hat man eine tolle Aussicht. 2. Mit mehreren Fremdsprachen hat man gute Aussichten im Beruf.,"نما، -s","the view, -s"
"aussprechen, spricht aus, sprach aus, hat ausgesprochen",Wie spricht man dieses Wort aus?,"تلفظ کردن، اظهار کردن، اظهار داشتن، اظهار داشتن","to pronounce, speaks out, spoke out, has pronounced"
die Aussprache,Ali hat eine gute Aussprache.,تلفظ,the pronunciation
"ausstellen, stellt aus, stellte aus, hat ausgestellt",1. Im Schaufenster sind Winterschuhe ausgestellt. 2. Das Zeugnis wird bis nächste Woche ausgestellt.,"نمایش دادن، به نمایش گذاشتن، به نمایش گذاشتن، به نمایش گذاشته است","exhibit, exhibits, exhibited, has exhibited"
"die Ausstellung, -en",1. Wir waren mit der Lehrerin in einer Ausstellung. 2. Die Ausstellung eines neuen Passes dauert zwei Wochen.,"نمایشگاه، -s","the exhibition, -s"
"(sich etwas) aussuchen, sucht aus, suchte aus, hat ausgesucht",Such dir etwas Schönes aus! Ich lade dich ein.,"(چیزی) را انتخاب کردن، برگزیدن، انتخاب کرده است","to choose (something), chooses, chose, has chosen"
"auswählen, wählt aus, wählte aus, hat ausgewählt",Für die Aufgabe können Sie aus drei Themen auswählen.,"انتخاب کردن، برگزیدن، برگزیدن، برگزیده است","select, selects, selected, has selected"
"die Auswahl, -en",1. Wir müssen eine Auswahl aus den Büchern treffen. 2. Das Geschäft hat eine große Auswahl.,"انتخاب، -s","the selection, -s"
"der Ausweis, -e",Darf ich mal Ihren Ausweis sehen?,کارت شناسایی (ها),the ID card(s)
"ausziehen, zieht aus, zog aus, hat/ist ausgezogen",1. Willst du den Mantel nicht ausziehen? 2. Müllers sind schon vor vier Wochen ausgezogen.,"بیرون بردن، بیرون بردن، بیرون بردن، بیرون کرده/دارد بیرون برده می‌شود","to move out, moves out, moved out, has/is moved out"
"das Auto, -s",Mario fährt mit dem Auto zur Arbeit.,"ماشین، -s","the car, -s"
"die Autobahn, -en",Das Dorf liegt direkt an der Autobahn.,"بزرگراه، -s","the motorway, -s"
"der Automat, -en",1. Zigaretten bekommst du am Automaten. 2. Der Fahrkartenautomat ist auf dem Bahnsteig.,"دستگاه، -s","the machine, -s"
automatisch,1. Die Tür schließt automatisch. 2. Das Zeugnis bekommen Sie automatisch zugeschickt.,به طور خودکار,automatically
"der Autor, -en die Autorin, -nen",Diese Autorin hat in diesem Jahr schon zwei Bücher geschrieben.,نویسنده(گان),the author(s)
"backen, bäckt/backt, backte, hat gebacken","Wenn du kommst, backe ich einen Kuchen.","پختن، پختن/پختن، پخته کردن، پخته است","bake, bakes/bakes, baked, has baked"
"die Bäckerei, -en",Wir kaufen unser Brot immer in der Bäckerei am Markt.,"نانوایی، -s","the bakery, -s"
"baden, badet, badete, hat gebadet",1. Wenn du baden möchtest: Das Badezimmer ist dort hinten links. 2. Hier ist Baden verboten!,"حمام کردن، غسل دادن، غسل کردن، غسل داده است","bathe, bathes, bathed, has bathed"
"das Bad, ¨-er",1. Nach einem warmen Bad fühlt man sich gleich viel besser. 2. Ich möchte ein Zimmer mit Bad.,"حمام، -er","the bath, -er"
"die Badewanne, -n",Nach einem langen Arbeitstag setzte sie sich in die Badewanne.,"وان حمام، -s","the bathtub, -s"
"die Bahn, -en",Ich komme mit der Bahn.,"راه آهن، -s","the railway, -s"
"S-Bahn, -en",Die S-Bahn ist schneller als die Straßenbahn.,"قطار شهری (S-Bahn)، -s","S-Bahn, -s"
"die Straßenbahn, -en",Nehmen Sie die Straßenbahn Nr. 16.,"تراموا، -s","the tram, -s"
"die U-Bahn, -en",Die letzte U-Bahn geht um 23.15 Uhr.,"مترو، -s","the subway, -s"
"der Bahnhof, ¨-e",Ich bringe Sie zum Bahnhof.,"ایستگاه قطار، -e","the train station, -e"
"der Bahnsteig, -e (D, A) → CH: Perron",Auf Hauptbahnhöfen gibt es meist viele Bahnsteige.,"سکو (D، A) → CH: پرون","the platform (D, A) → CH: Perron"
bald,"1. Besuchen Sie uns doch bald mal. 2. Geben Sie mir bitte so bald wie möglich Bescheid. 3. Auf Wiedersehen, bis bald!",به زودی,soon
"der Balkon, -e",Die Wohnung hat auch einen kleinen Balkon.,"بالکن، -s","the balcony, -s"
"der Ball, ¨-e",Ich spiele gern mit meinen Kindern Ball.,"توپ، ¨-e","the ball, ¨-e"
"das Ballett, -e",Meine Tochter möchte gern Ballett tanzen.,"باله، -s","the ballet, -s"
"die Banane, -n","1 Kilo Bananen, bitte.","موز، -s","the banana, -s"
"die Bank, ¨-e","Kommt, wir setzen uns auf die Bank da vorne.","بانک، -e","the bank, -e"
"die Bank, -en",Bei welcher Bank haben Sie Ihr Konto?,"بانک، -s","the bank, -s"
"der Bancomat/Bankomat, -en (A, CH) → D: Geldautomat",Ich hole noch schnell Geld vom Bankomaten.,"دستگاه خودپرداز/ATM، -en (A, CH) → D: دستگاه خودپرداز","the ATM/ATM, -en (A, CH) → D: ATM"
"die Bankleitzahl, -en",Bitte geben Sie Ihre Bankleitzahl an.,کد(های) بانکی,the bank code(s)
"die Bankomat-Karte, -n (A) → ec-Karte/EC-Karte",Sie können auch mit Bankomat-Karte zahlen.,"کارت خودپرداز، -s (A) → کارت الکترونیکی/کارت نقدی","the ATM card, -s (A) → EC card/debit card"
"die Bar, -s",1. Setzen wir uns doch an die Bar! 2. Ich treffe meine Freundin in der Hotelbar.,"نوار، -s","the bar, -s"
bar,Zahlen Sie bar?,خرس,bear
das Bargeld,Ich habe kein Bargeld mehr.,پول نقد,the cash
"der Bart, ¨-e",John trägt jetzt einen Bart.,"ریش، -e","the beard, -e"
"der Basketball, ¨-e",1. Sie spielt sehr gern Basketball. 2. Er hat zum Geburtstag einen neuen Basketball bekommen.,"توپ بسکتبال، ¨-e","the basketball, ¨-e"
"basteln, bastelt, bastelte, hat gebastelt",1. Die Kinder basteln ein Vogelhaus. 2. Ich arbeite gern mit natürlichen Bastelmaterialien.,"صنایع دستی، صنایع دستی، ساخته شده، ساخته شده است","crafting, crafts, crafted, has crafted"
"die Batterie, -n",Bringst du bitte Batterien für die Kamera mit?,"باتری، -s","the battery, -s"
"der Bauch, ¨-e",Mir tut der Bauch weh.,"شکم، -e","the belly, -e"
"bauen, baut, baute, hat gebaut",Mein Nachbar hat ein Haus gebaut.,"ساختن، ساختن، ساختن، ساخته است","build, builds, built, has built"
"der Bau, Bauten",1. Ich wohne in einer Neubauwohnung. 2. Unser Haus ist ein Altbau.,"ساخت و ساز، ساختمان ها","the construction, buildings"
"die Baustelle, -n",Wir müssen die Baustelle umfahren.,"محل ساخت و ساز، -s","the construction site, -s"
"der Bauer, -n",Wir kaufen unser Gemüse beim Bauern.,"کشاورز، -s","the farmer, -s"
"der Baum, ¨-e",Wir haben zwei Bäume im Garten.,"درخت، -e","the tree, -e"
